"ASV","s.high","s.low","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence"
"e538fbdb31afbbc4d1af46265475bc3d",0,1,2,0.537316226850037,0.005,"d__Bacteria","p__Nitrospirota","c__Leptospirillia","o__Leptospirillales","f__Leptospirillaceae","g__Leptospirillum","s__Nitrospirae_bacterium","0.7837746"
"2cb9eabb50d618d64e2c283abdafe720",0,1,2,0.612485309860729,0.005,"d__Bacteria","p__Nitrospirota","c__Leptospirillia","o__Leptospirillales","f__Leptospirillaceae","g__Leptospirillum","s__Nitrospirae_bacterium","0.9997267"
"34438cf858545ab81586a87669809360",0,1,2,0.468308135750944,0.045,"d__Bacteria","p__Nitrospirota","c__Leptospirillia","o__Leptospirillales","f__Leptospirillaceae","g__Leptospirillum","s__Nitrospirae_bacterium","0.9997557"
"f60a25eb31a3b4af672c280e4d486e13",0,1,2,0.426202645616227,0.01,"d__Bacteria","p__Acidobacteriota","c__Subgroup_22","o__Subgroup_22","f__Subgroup_22","g__Subgroup_22",NA,"0.8564901"
"8001955351c21c9fc074f3d6c11193d3",0,1,2,0.532524397424225,0.01,"d__Bacteria","p__Acidobacteriota","c__Subgroup_22","o__Subgroup_22","f__Subgroup_22","g__Subgroup_22","s__metagenome","0.9858410"
"9ea01f4e0fca7ac814633fdc83c0a00d",0,1,2,0.318511028635303,0.03,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacter",NA,"0.9896464"
"f3d03c2feaa2208b0b1816c3de6b95f3",0,1,2,0.320308464342211,0.025,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Luteitalea",NA,"0.9297562"
"8e303126138ebfa7f053dc7f2a03ead8",0,1,2,0.36427696523526,0.04,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__uncultured",NA,"0.9602856"
"e0fd376ee432444609c6e4dbe9ebb643",1,0,1,0.292559455606394,0.02,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"0.9479924"
"853681a47dfdd81f44ca6c00351b0a5f",0,1,2,0.438470380968389,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacter",NA,"0.8479803"
"abc95995f24a2172a77d6543274594dd",0,1,2,0.306924907022426,0.025,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"0.7809432"
"3f9aa95d6501972068e0d4066576a3b2",0,1,2,0.318511028635303,0.025,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.8065242"
"dc29e5caa4f90cbfcbb7ec7c5e176f2b",0,1,2,0.350982059081517,0.02,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9033796"
"beb7d7f7ebbe3fe79332c60e2c8f271f",1,0,1,0.289399476048297,0.02,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9733634"
"c30d6007def1cc53c880caad31d81ec4",0,1,2,0.508482279908926,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9040837"
"99930441c0a83176fc641dab3bb55200",0,1,2,0.6021893421643,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.8466622"
"724b72fc0d0ef129436fd289fee891b0",0,1,2,0.436301273428098,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9967590"
"52b84b8f7c0d1a0584a7e663c01988b9",0,1,2,0.437548060682525,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9950550"
"dc34579e747e3d823b57b606ed28778a",0,1,2,0.28232985128664,0.045,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9261698"
"d61820def6438aaabd5e3cc4f9971957",0,1,2,0.403913373836324,0.025,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9447871"
"7d84ee40f428f6cb757a494de0bcb449",1,0,1,0.382286571538075,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9980680"
"8a4a6554c967d352fe168dd32aef345a",1,0,1,0.527964567222411,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9994927"
"a765827051837c87e50274524f69e581",0,1,2,0.361157559257308,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9651859"
"ef7a7913fcfd5f100a1ededd97c9c59d",1,0,1,0.301517120225116,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9644839"
"8f5f05a1de7c77d27c5ed2d89c799b9f",0,1,2,0.495852264364353,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured","s__uncultured_bacterium","0.7275857"
"ef4878ce610f0f972641698491b48d84",1,0,1,0.457997341440229,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9923755"
"2fcd0c9854a68012c6f030166f65fa2e",0,1,2,0.531609533071195,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9546865"
"bc8fd94b6959f192c553de09dad5f980",1,0,1,0.272165526975909,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9584571"
"18257dbcd8d9b881210f0eb467af9d70",1,0,1,0.398772524864965,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9876965"
"ae4688413c48d4c1e4c79a3f0a3d5081",0,1,2,0.558031731336508,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9922640"
"6aef6be36483cce83180a22450b646c4",0,1,2,0.549724333322212,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9845644"
"1a15e797e6711caf7cc6d73d33b403ab",1,0,1,0.304290309725092,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9790183"
"15468debc64807f38ee6b4d28e5afbc5",1,0,1,0.233445604617739,0.03,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9867538"
"50b82c208c424f90c81d8c85bb808fba",0,1,2,0.408248290463863,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9967274"
"012aad88f33022c7bd2a15c45efd277d",0,1,2,0.365459199248417,0.03,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured","s__metagenome","0.7361276"
"5dfb255eccfcec4f4a149e8e54125031",1,0,1,0.333333333333333,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9922361"
"899fca565b9a52e3cbb9bd28e4e0b837",1,0,1,0.304290309725092,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9732124"
"156933b49be169462c3576dbc866e160",1,0,1,0.45133546692422,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9737301"
"c7abf308ae0100ebb5a6b48d26e65097",1,0,1,0.333333333333333,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.7017070"
"f47b861708f5b69034583d88dc387b4b",0,1,2,0.361157559257308,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9667918"
"7d811d6e0238038b83f3de897ecdc2f3",0,1,2,0.387743475473201,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.8555780"
"28095def0ed38c647164f2178980d063",0,1,2,0.512377367613381,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9905482"
"29cc4327c4c076b4eb03a443a33c2a3d",0,1,2,0.318511028635303,0.025,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"0.8962908"
"8d2af81b2b528672310aa9fdc5511390",0,1,2,0.482835864274121,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9536832"
"d47ea035e447173761e336f24df13630",0,1,2,0.622070573732517,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9944264"
"c690c970aa7f57710e2e1e00e50ac9b2",1,0,1,0.235702260395516,0.015,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured",NA,"0.9848636"
"284b5a9fc2fdf90806834f042b29de82",1,0,1,0.272165526975909,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"0.9845808"
"90d806fcc5463b62e5ce54bcf107f1be",1,0,1,0.358709282682716,0.015,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"0.9663753"
"dcb42a95571b0b929608d2d17b7be4ff",1,0,1,0.406094091048277,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"0.9845012"
"1355f96cdea1163e657626ed32d3af2f",1,0,1,0.272165526975909,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"0.9111835"
"1fc4b068e8293219b2245778c7f231e5",0,1,2,0.361157559257308,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"0.8774392"
"24df97c885d5fd8e8cd33501353cbccf",0,1,2,0.458296647381549,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9445442"
"99e98dcbe3e3611e7b35ef68294bb8f0",0,1,2,0.498163550296298,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9672526"
"a40486ef51506ec0ccde4fa4f08a5f82",0,1,2,0.407330628461176,0.03,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9331612"
"65be60ee8a7540ef5234388febc3b282",0,1,2,0.592441239066608,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9646901"
"ab6b21c8d7b7a3c1ced94fd7a95d73b8",0,1,2,0.551677284367371,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9613573"
"e07c36484e879388068c7a3d3590554c",0,1,2,0.368624682199409,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9483693"
"17ed82a5d63d191652b46cabbeadc3fe",0,1,2,0.62585421751924,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9050850"
"2335e955950ef24bec01de6eed36531a",1,0,1,0.384900179459751,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9684720"
"7b93ea16403710b58bcb5180083c3292",0,1,2,0.340502612303499,0.015,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9866512"
"14095a4986c401bf5d8666432748cd92",0,1,2,0.448286930171455,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9214997"
"683b537c1ee7eaed90f71d04a45f66a8",0,1,2,0.532693584193783,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9702935"
"908d0a20c23692334918b8e37fa22455",0,1,2,0.36491970565094,0.04,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.8972511"
"602f655e50deaa4b32b6d2a2c1fedf2a",0,1,2,0.361157559257308,0.02,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9160815"
"0a16dbc9156f832288070d786682465e",0,1,2,0.294883912309794,0.03,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.8554896"
"c8c75021650b1f8704759e2661699cc3",0,1,2,0.526641159042116,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.8720252"
"29bf4c0760c628b5ec5a3f38094e3360",0,1,2,0.50955944414054,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.8915854"
"5e8e5b5099fb922523cc514a4fd261c8",0,1,2,0.41702882811415,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9536940"
"c01f9a60c04f0fda381bf6e724eed099",0,1,2,0.678818444153403,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9704125"
"0db3c38c05e906c100d59cd792ce35f8",0,1,2,0.455896749705851,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9849627"
"9f125cd5a60a88f124a0ed1e4d8cfbda",0,1,2,0.767070695952138,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9352321"
"c38619a6fc1d21610c9e0934fc5a978d",0,1,2,0.404433532291371,0.03,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9299863"
"1655112ed7451d055506c410e1514b30",0,1,2,0.476471846879315,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9770988"
"da422ef5ae42ea9b0136c3fe9a3953ce",0,1,2,0.404274866829539,0.01,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9154006"
"f1a8798a6a22a1fc63d530c939f542bd",0,1,2,0.519703018653405,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9946255"
"453bf80b2ba4e45d9d19d87ba8da4968",1,0,1,0.226715543643636,0.045,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.9568568"
"f1c2781d8395c40e80b394fe9a50e138",0,1,2,0.294883912309794,0.035,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.8429992"
"ea49e9a0e0116a91817999b950e97235",0,1,2,0.429521275488531,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA,"0.8542447"
"5a936caa05b7439f79da0e5cec762f30",0,1,2,0.442325868464691,0.01,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7","s__uncultured_Desulfovirga","0.9607533"
"5ea61bfb74f0dff8988c8d598a7038e9",0,1,2,0.466252404120157,0.005,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7","s__uncultured_Desulfovirga","0.7551040"
"cc9466033a8eb79db5d1a97759a60f67",0,1,2,0.41702882811415,0.01,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7",NA,"0.9677949"
"929e87c0a092cc6a183ea170a235ae92",0,1,2,0.489009646921826,0.005,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7",NA,"0.9955323"
"a36963bdf91a81f7393854b8738e59dc",0,1,2,0.458415671128542,0.005,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7",NA,"0.9221371"
"456759e061e7606fb0225ea8148c693c",0,1,2,0.587610591449276,0.005,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7",NA,"0.9887625"
"5562e097a5f0250ab696b606544b7ce2",0,1,2,0.411528632740926,0.01,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7",NA,"0.9593192"
"3f0c57602e53b81804dacddc006fa339",0,1,2,0.545070132437434,0.005,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7","s__uncultured_Desulfovirga","0.8957382"
"dcd525bce772ba1e39e8d79f11172480",0,1,2,0.318511028635303,0.03,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7",NA,"0.8119577"
"72d53f8f0b1afeab2b743d6f1e92cadb",0,1,2,0.356142569926097,0.04,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Subgroup_7","f__Subgroup_7","g__Subgroup_7",NA,"0.8346370"
"48967dc2bdf98ec90269db9161d3a8b0",0,1,2,0.380693493813441,0.005,"d__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__UTCFX1",NA,"0.9579177"
"f7c5c6588b6972259a315f172708b7f2",1,0,1,0.45133546692422,0.005,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9959133"
"884109a403ac4c00c6b403529e20ecbb",1,0,1,0.45133546692422,0.005,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2","s__bacterium_enrichment","0.7724009"
"22a78be579f24352cd15419600734e87",0,1,2,0.306924907022426,0.02,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2","s__uncultured_bacterium","0.9313020"
"758944bed8ded000fc53e1dd87a36e16",0,1,2,0.410687723945898,0.045,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2","s__uncultured_bacterium","0.8896707"
"f928dbc2cb9c438c6d5406b0264f4c5d",1,0,1,0.304290309725092,0.005,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9919461"
"557f8ce2ab29f79b53c954d197cb1bed",1,0,1,0.272165526975909,0.01,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9907729"
"d55bccf16d4a33debee1e37d85a29055",1,0,1,0.333333333333333,0.005,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9983977"
"f38492cee1fde11513e576ac08995c32",1,0,1,0.235702260395516,0.02,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9731305"
"1c01b5a4050cb2e4f2b4a35dd8c5f0fc",1,0,1,0.471404520791032,0.005,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.8924929"
"6391f7ef001a47066c8e7cc8a282e669",0,1,2,0.306924907022426,0.045,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9972046"
"672a3307a65765363fb6b70dc96c5278",1,0,1,0.333333333333333,0.005,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9981126"
"4d14467bfa41707d36481ed3e77fd717",1,0,1,0.506794938679639,0.005,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9933216"
"0b74c890d0b8ab7510e8b13b7fd959f1",1,0,1,0.282528091839254,0.03,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9994130"
"94f3f4ab8b52ad2be82ca32286a9e206",1,0,1,0.235702260395516,0.03,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9971404"
"c69450179a60800aeb5b55a099f0d33b",1,0,1,0.509175077217316,0.005,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9590908"
"f3987f6cdc0728c296a7762e20f25de3",1,0,1,0.235702260395516,0.03,"d__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup_2","f__Subgroup_2","g__Subgroup_2",NA,"0.9575207"
